METAPHOR;;METAPHOR SOURCE ROLE;METAPHOR TARGET ROLES;;;
CORRUPTION;EROSION;corrupt_activities;eroding_process;eroding_agent;business;elevator
CORRUPTION;EROSION;corruption_affectee;eroded_entity;sedimentation;imprisoned_person;espresso
CORRUPTION;EROSION;corrupting_effect;eroding_effect;erosion_prevention;drug_effect;fabric
DESIRE;HUNGER;desire;hunger;food;tension;falcon
DESIRE;HUNGER;desirer;hungry_person;malnutrition;addict;fan
DESIRE;HUNGER;desired_object;object_hungered_for;stomach;distant_object;flag
ELECTION;WAR;candidate;war_side;weapon;colleague;map
EMOTIONS;OBJECTS;directed_emotion;object;object_representation;invention;author
EMOTIONS;SUBSTANCES;emotions;substances;substance_processing;people;admire
EMOTIONS;SUBSTANCES;body;container_for_substances;substance_use;landscape;agreement
FORCES;OBJECTS;force;object_entity;object_representation;soldier;closure
FORCES;OBJECTS;force_amount;size;color;temperature;training
FUNCTIONALITY;VERTICALITY;functionality_scale;verticality_scale;standing;singing_scale;benevolence
FUNCTIONALITY;VERTICALITY;functional_status;scalar_position;leap;political_role;brevity
FUNCTIONALITY;VERTICALITY;functional_entity;vertical_entity;tall;living_entity;defeat
GROUPS;CONTAINERS;group;container;material;network;dilligence
GROUPS;CONTAINERS;members;contents;shape;musical_notes;critic
GROUPS;POSSESSORS;group;possessor;possesed_object;organ;free
GROUPS;POSSESSORS;members;possession;facts;facts;flexible
GUNS;DRUGS;weapon;addicting_thing;side_effect;tool;fortunate
GUNS;MAGICAL;weapon;magical_object;wizard;sports_machine;heated
GUNS;MAGICAL;weapon;magical_object;make_magic;shield;focused
GUNS;PESTS;weapon;pest;exterminator;body_part;hourly
HEALTH;VERTICALITY;healthy_entity;upright_entity;elevation;mysterious_entity;habit
HEALTH;VERTICALITY;state_of_health;state_of_uprightness;step;wealthy_person;hatred
IDEAS;FOOD;idea_self;food;buffet;money;gesture
IDEAS;FOOD;idea_cognizer;food_consumer;dinner;pilot;imply
IDEAS;OBJECTS;idea_self;object_entity;object_design;dust;hammer
IDEAS;POSSESSIONS;idea_cognizer;possessor;gain_possession;profet;happy
IDEAS;POSSESSIONS;idea_self;possession;lose_possession;hazard;future
IMPORTANCE;SIZE;entity_evaluated_for_importance;entity;increase_size;television;graceful
IMPORTANCE;SIZE;degree_of_importance;scalar_position;entity_size;measure_of_quantity;horrific
IMPORTANCE;SIZE;importance_scale;size_scale;measure;quantity_scale;innocent
KNOWING;PERCEIVING;knower;perceiver;event_happening;crazy_person;impact
KNOWING;PERCEIVING;mind;faculty;object_to_percieve;soul;child
KNOWING;PERCEIVING;knowledge;perceived_thing;percieving_agent;time;funny
KNOWING;SEEING;knower;seer;blindness;hard_worker;creepy
KNOWING;SEEING;mind;eyes;glasses;heart;shout
KNOWING;SEEING;knowledge_capacity;visual_ability;unseen;patiente;inefficient
KNOWING;SEEING;knowledge;seen_object;point_of_view;valuable_object;inflation
KNOWING;TOUCHING;knower;toucher;skin;old_person;help
KNOWING;TOUCHING;mind;limbs;soft;books;charitable
KNOWING;TOUCHING;idea;object;texture;culture;apprentice
LAWS;PLANTS;law;plant_entity;seed;rock;learning
LAWS;PLANTS;legal_actions;plant_attributes;garden;tactics;icon
LAWS;PLANTS;law_creator;plant_nourishment;soil;head;fundamental
LAWS;PLANTS;jurisdiction;plant_size;transplant;chess_board;frugality
LEARNING;ACQUIRING;learner;recipient;price;lieutenant;fascination
LEARNING;ACQUIRING;learned_material;possession;trading;nutrients;fearful
MACHINES;PEOPLE;machine;person;citizen;computer;energetic
MACHINES;PEOPLE;machine_hardware;human_body;crowded;loom;knife
MACHINES;PEOPLE;machine_software;human_mind;humanity;art;fork
MACHINES;PEOPLE;good_functioning_of_machine;health_of_person;population;orginazed_army;download
MORAL;STRAIGHT;moral_person;straight_person;straightening_process;boring_person;hair
MORAL;STRAIGHT;moral_person;straight_person;straighten;happy_person;desired_property
MORALITY;PURITY;moral_condition;pure_condition;purifying_treatment;subjective_condition;heir
MORALITY;PURITY;moral_entity;pure_entity;purification_process;valuable_entity;kitten
MORALITY;STRAIGHTNESS;moral_person;straight_object;straightening_process;chain_element;follower
MORALITY;STRAIGHTNESS;morality;property_of_being_straight;straightening_mechanism;wisdom;discover
PROVING;SHOWING;reasoner;perception_causer;exhibition;judge;diver
PURITY;CLEANLINESS;pure_substance;clean_substance;cleaning_tool;unttouched_substance;sleep
PURITY;CLEANLINESS;substances;impurities;mop;infants;whisper
QUANTITY;SIZE;quantity_scale;size_scale;measuring_tape;importance_scale;kiss
QUANTITY;SIZE;measure_of_quantity;scalar_position;ruler;degree_of_importance;cheese
QUANTITY;SIZE;entity_amount;entity_size;measuring_scale;noise_frequency;development_tools
QUANTITY;VERTICALITY;quantity_scale;verticality_scale;up;weight_scale;faith
QUANTITY;VERTICALITY;measure_of_quantity;scalar_position;going_upwards;grams;fairness
RELATIONSHIPS;CONTAINERS;relationship;container;lid;journey;slam
RELATIONSHIPS;CONTAINERS;relationship_participants;contents;container_shape;traveler;kick
RELATIONSHIPS;OBJECTS;relation;object_entity;fill;path;giggle
RIGHTS;POSSESSIONS;rights_holder;possessor;own;responsible_person;cough
RIGHTS;POSSESSIONS;right;possession;possession_worth;weight;single
RIGHTS;TERRITORIES;right;territory_whole;location;safety_mechanisms;ultimate
RIGHTS;TERRITORIES;rights_holder;owner;map;benefitiary;drag
SCALES;PATHS;minimal_value;source;incline;building_foundation;king
SCALES;PATHS;intermediate_values;path;walkway;staircase_Steps;shooting
SCALES;PATHS;maximal_value;goal;direction;up;redesign
SCALES;PATHS;norm;landmark;detour;body;step_up
SCALES;PATHS;position_on_scale;trajectory;mile;growth_stage;imagination
SEEING;TOUCHING;eyes;touch_bodypart;touchy;mind;laugh
SEEING;TOUCHING;visual_ability;sense_of_touch;skin;empathy;fireman
SEEING;TOUCHING;seen_object;touched_thing;tactile;understood_person;cuddle
SEEING;TOUCHING;visual_input;tactile_input;tact;cue;printable
SEEING;TOUCHING;seer;toucher;touch;controller;red
SELECTION;ADOPTION;selector;family_representative;child;filter;surfing
SELECTION;ADOPTION;options;candidates;orphanage;contestants;building
SELECTION;ADOPTION;selection_option;adoptee;agency;menu_dish;conclude
SICKNESS;DOWN;sick_entity;supine_entity;descent;poor_individual;adapt
STATES;LOCATIONS;profiled_state_value;profiled_region;direction;stock_value;despise
STATES;LOCATIONS;standard;landmark;find;stock_exchange;concentration
STATES;LOCATIONS;state_type;background;lost;brand;depict
STATES;LOCATIONS;state_holder;trajector;zone;influencer;dread
SUBJUGATION;DOWN;subjugated_entity;vertically_lower_entity;falling_object;disempowered_entity;wasted
TAXATION;PUNISHMENT;taxer;punisher;prison;vampire;amusement
TAXATION;PUNISHMENT;tax_payer;punished_person;discipline;prey;educate
TAXATION;PUNISHMENT;tax;punishment;punishment_justification;consequence;comprehend
TAXATION;SLAVERY;taxer;subjugator;freedom;dictator;enchant
TAXATION;SLAVERY;tax_payer;subjugated;slave;tortured_person;nurture
TAXATION;THEFT;taxer;thief;stolen_object;policeforce;assist
TAXATION;THEFT;tax_payer;victim;punishment;civilian;frighten
TAXATION;THEFT;tax;stolen_item;stolen_object_value;justice;compete
TAXES;DISEASES;tax_payer;patient;cure;victim;chuckle
TAXES;DISEASES;tax;disease;hospital;duty;ascertain
TAXES;DUES;tax_payer;member;due_date;weak_person;rectify
TAXES;DUES;tax_payment;membership_fee;overdue;plot_twist;simple
THEORIES;BUILDINGS;theoretical_domain;building_whole;building_material;ecosystem;apple
THEORIES;BUILDINGS;theoretical_arguments;building_parts;building_design;branches;branding
THEORIES;BUILDINGS;theory_supporting_evidence;building_foundation;architect;roots;resurrect
THINKING;SPEAKING;cognizer;speaker;voice;artist;validation
TIME;MONEY;duration;amount;save;distance;visual
UNCONSCIOUS;DOWN;unconscious_entity;supine_entity;slide;brainless_entity;unification
UNDERSTANDING;GRASPING;understanding_person;grasping_person;strength;seeing_person;synchronize
UNDERSTANDING;GRASPING;understood_idea;grasped_object;pull;seen_object;harmony
VOTING;SPEAKING;voter;speaker;tone;harvester;dress
WHOLES;CONTAINERS;whole;container;store;world;testify
WHOLES;CONTAINERS;parts;contents;empty;regions;transcriber
WHOLES;POSSESSORS;whole;possessor;ownership;person;write
WHOLES;POSSESSORS;parts;possession;object_value;personality_traits;bloom
WHOLES;POSSESSORS;whole-part_relation;possess_relation;possession_time;geographic_relations;fisherman
WORDS;CONTAINERS;word_form;container;enclosed;jewels;desperate
WORDS;CONTAINERS;word_meaning;contents;outside;soul;intersect
